date_key,full_date,calendar_year,calendar_quarter,month_number,month_name,week_number,day_of_month,day_name,is_weekend
20160904,2016-09-04,2016,3,9,September,35,4,Sunday,1
20160905,2016-09-05,2016,3,9,September,36,5,Monday,0
20160906,2016-09-06,2016,3,9,September,36,6,Tuesday,0
20160907,2016-09-07,2016,3,9,September,36,7,Wednesday,0
20160908,2016-09-08,2016,3,9,September,36,8,Thursday,0
20160909,2016-09-09,2016,3,9,September,36,9,Friday,0
20160910,2016-09-10,2016,3,9,September,36,10,Saturday,1
20160911,2016-09-11,2016,3,9,September,36,11,Sunday,1
20160912,2016-09-12,2016,3,9,September,37,12,Monday,0
20160913,2016-09-13,2016,3,9,September,37,13,Tuesday,0
20160914,2016-09-14,2016,3,9,September,37,14,Wednesday,0
20160915,2016-09-15,2016,3,9,September,37,15,Thursday,0
20160916,2016-09-16,2016,3,9,September,37,16,Friday,0
20160917,2016-09-17,2016,3,9,September,37,17,Saturday,1
20160918,2016-09-18,2016,3,9,September,37,18,Sunday,1
20160919,2016-09-19,2016,3,9,September,38,19,Monday,0
20160920,2016-09-20,2016,3,9,September,38,20,Tuesday,0
20160921,2016-09-21,2016,3,9,September,38,21,Wednesday,0
20160922,2016-09-22,2016,3,9,September,38,22,Thursday,0
20160923,2016-09-23,2016,3,9,September,38,23,Friday,0
20160924,2016-09-24,2016,3,9,September,38,24,Saturday,1
20160925,2016-09-25,2016,3,9,September,38,25,Sunday,1
20160926,2016-09-26,2016,3,9,September,39,26,Monday,0
20160927,2016-09-27,2016,3,9,September,39,27,Tuesday,0
20160928,2016-09-28,2016,3,9,September,39,28,Wednesday,0
20160929,2016-09-29,2016,3,9,September,39,29,Thursday,0
20160930,2016-09-30,2016,3,9,September,39,30,Friday,0
20161001,2016-10-01,2016,4,10,October,39,1,Saturday,1
20161002,2016-10-02,2016,4,10,October,39,2,Sunday,1
20161003,2016-10-03,2016,4,10,October,40,3,Monday,0
20161004,2016-10-04,2016,4,10,October,40,4,Tuesday,0
20161005,2016-10-05,2016,4,10,October,40,5,Wednesday,0
