category_name,avg_rating,review_count,avg_sentiment_score,positive_share,negative_share,sentiment_label
amazon device accessories,3.6666666666666665,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,Neutral
amazon devices & accessories,4.438902743142145,401,0.7194513715710723,0.6433915211970075,0.2194513715710723,Positive
back to college,4.707278481012659,5056,0.8536392405063291,0.9032832278481012,0.035205696202531646,Positive
cases,3.923076923076923,13,0.46153846153846156,0.8461538461538461,0.07692307692307693,Positive
categories,3.125,8,0.0625,0.5,0.5,Negative
chargers & adapters,4.205479452054795,73,0.6027397260273972,0.4931506849315068,0.4383561643835616,Negative
computers & tablets,4.836065573770492,61,0.9180327868852459,0.8852459016393442,0.04918032786885246,Positive
computers/tablets & networking,4.479543292102759,1051,0.7397716460513797,0.8201712654614652,0.058991436726926735,Positive
ebook readers,4.611940298507463,67,0.8059701492537313,0.8507462686567164,0.08955223880597014,Positive
electronics,4.5713007159904535,3352,0.7856503579952268,0.836217183770883,0.04445107398568019,Positive
electronics features,4.424731182795699,372,0.7123655913978495,0.7795698924731183,0.06451612903225806,Positive
featured brands,4.531446540880503,636,0.7657232704402516,0.8364779874213837,0.06132075471698113,Positive
fire tablets,4.457043756670224,11244,0.7285218783351121,0.8005158306652437,0.04971540377090004,Positive
frys,4.5,2,0.75,1.0,0.0,Positive
kindle e-readers,4.666666666666667,6,0.8333333333333334,0.8333333333333334,0.0,Positive
kindle store,4.5,16,0.75,0.5625,0.375,Negative
mazon.co.uk,4.666666666666667,15,0.8333333333333334,0.8,0.13333333333333333,Positive
power adapters & cables,4.875,8,0.9375,0.875,0.125,Positive
stereos,4.671098353225563,6619,0.8355491766127814,0.8880495543133404,0.02810092158936395,Positive
tablets,4.532040926225094,1857,0.7660204631125471,0.7980613893376414,0.06192784060312332,Positive
tvs entertainment,4.285714285714286,7,0.6428571428571429,0.5714285714285714,0.14285714285714285,Neutral
walmart for business,4.765708200212993,3756,0.8828541001064962,0.9278487752928648,0.0231629392971246,Positive
